Series ID,Year,Period,Label,Value
CXU900000LB1201M,2001,A01,2001 Annual,38334
CXU900000LB1201M,2002,A01,2002 Annual,39864
CXU900000LB1201M,2003,A01,2003 Annual,41200
CXU900000LB1201M,2004,A01,2004 Annual,43192
CXU900000LB1201M,2005,A01,2005 Annual,46291
CXU900000LB1201M,2006,A01,2006 Annual,48119
CXU900000LB1201M,2007,A01,2007 Annual,50322
CXU900000LB1201M,2008,A01,2008 Annual,51007
CXU900000LB1201M,2009,A01,2009 Annual,50339
CXU900000LB1201M,2014,A01,2014 Annual,51889
CXU900000LB1201M,2015,A01,2015 Annual,54405
CXU900000LB1201M,2016,A01,2016 Annual,57319
CXU900000LB1201M,2017,A01,2017 Annual,57590
CXU900000LB1201M,2018,A01,2018 Annual,61557
CXU900000LB1201M,2019,A01,2019 Annual,64708
CXU900000LB1201M,2020,A01,2020 Annual,65449
CXU900000LB1201M,2021,A01,2021 Annual,67409
CXU900000LB1201M,2022,A01,2022 Annual,73220
CXU900000LB1201M,2023,A01,2023 Annual,78286
