entity,total_billions,total_usd,population_2020,per_capita_usd,is_state_like,biden_win_2020
ALASKA,3.7,3700000000.0,733391.0,5045.057820453209,True,False
WYOMING,2.3,2300000000.0,576851.0,3987.164796455237,True,False
MONTANA,3.3,3300000000.0,1084225.0,3043.648689155849,True,False
NORTH DAKOTA,1.8,1800000000.0,779094.0,2310.37589815863,True,False
NORTHERN MARIANA ISLANDS,0.0833,83300000.0,47329.0,1760.0202835470852,False,
U.S. VIRGIN ISLANDS,0.1483,148300000.0,87146.0,1701.7419043903335,False,
DISTRICT OF COLUMBIA,1.1,1100000000.0,689545.0,1595.2548419610032,True,True
SOUTH DAKOTA,1.3,1300000000.0,886667.0,1466.1648623440367,True,False
AMERICAN SAMOA,0.0686,68600000.0,49710.0,1380.004023335345,False,
VERMONT,0.8521,852100000.0,643077.0,1325.0357266703677,True,True
NEW MEXICO,2.6,2600000000.0,2117522.0,1227.8502891587432,True,True
WEST VIRGINIA,2.0,2000000000.0,1793716.0,1115.0037129623643,True,False
RHODE ISLAND,1.1,1100000000.0,1097379.0,1002.3884182219634,True,True
ARKANSAS,2.8,2800000000.0,3011524.0,929.7618083070233,True,False
GUAM,0.1426,142600000.0,153836.0,926.9611794378429,False,
LOUISIANA,4.3,4300000000.0,4657757.0,923.1911411436878,True,False
KENTUCKY,3.9,3900000000.0,4505836.0,865.5441520730004,True,False
MAINE,1.1,1100000000.0,1362359.0,807.4230067111532,True,True
DELAWARE,0.792,792000000.0,989948.0,800.0420224092578,True,True
MISSISSIPPI,2.3,2300000000.0,2961279.0,776.6914228615406,True,False
IOWA,2.4,2400000000.0,3190369.0,752.264079797666,True,False
OKLAHOMA,2.9,2900000000.0,3959353.0,732.4429016559019,True,False
CONNECTICUT,2.5,2500000000.0,3605944.0,693.2997295576415,True,True
HAWAII,1.0,1000000000.0,1455271.0,687.1572373805291,True,True
NEBRASKA,1.3,1300000000.0,1961504.0,662.7567417655024,True,False
ILLINOIS,8.4,8400000000.0,12812508.0,655.6093467414811,True,True
IDAHO,1.2,1200000000.0,1839106.0,652.4909385320911,True,False
PENNSYLVANIA,8.1,8100000000.0,13002700.0,622.9475416644235,True,True
MISSOURI,3.8,3800000000.0,6154913.0,617.3929672117217,True,False
ALABAMA,3.0,3000000000.0,5024279.0,597.100598911804,True,False
OHIO,6.6,6600000000.0,11799448.0,559.3482000174923,True,False
COLORADO,3.2,3200000000.0,5773714.0,554.2359735864991,True,True
UTAH,1.8,1800000000.0,3271616.0,550.1868189909818,True,False
NEW JERSEY,5.1,5100000000.0,9288994.0,549.0368494155557,True,True
NEVADA,1.7,1700000000.0,3104614.0,547.5720975296769,True,True
NEW HAMPSHIRE,0.7518,751800000.0,1377529.0,545.7598351831432,True,True
OREGON,2.3,2300000000.0,4237256.0,542.8041166264205,True,True
TENNESSEE,3.7,3700000000.0,6910840.0,535.3907773874088,True,False
VIRGINIA,4.5,4500000000.0,8631393.0,521.3526947504301,True,True
WASHINGTON,4.0,4000000000.0,7705281.0,519.1244809890775,True,True
MICHIGAN,5.2,5200000000.0,10077331.0,516.0096458080021,True,True
MASSACHUSETTS,3.6,3600000000.0,7029917.0,512.0970845032737,True,True
KANSAS,1.5,1500000000.0,2937880.0,510.57224937710185,True,False
INDIANA,3.4,3400000000.0,6785528.0,501.06638716987095,True,False
NEW YORK,10.1,10100000000.0,20201249.0,499.9690860698762,True,True
ARIZONA,3.5,3500000000.0,7151502.0,489.4076796734448,True,True
TEXAS,14.2,14200000000.0,29145505.0,487.21063505332984,True,False
WISCONSIN,2.8,2800000000.0,5893718.0,475.08211285304117,True,True
MINNESOTA,2.7,2700000000.0,5706494.0,473.145157078935,True,True
GEORGIA,5.0,5000000000.0,10711908.0,466.7702523210618,True,True
CALIFORNIA,18.4,18400000000.0,39538223.0,465.3724574318881,True,True
SOUTH CAROLINA,2.3,2300000000.0,5118425.0,449.35697993034967,True,False
MARYLAND,2.7,2700000000.0,6177224.0,437.0895405444258,True,True
NORTH CAROLINA,4.5,4500000000.0,10439388.0,431.05975177855254,True,False
FLORIDA,8.2,8199999999.999999,21538187.0,380.71913852359063,True,False
PUERTO RICO,0.9937,993700000.0,3285874.0,302.4157347481979,False,
TRIBAL COMMUNITIES,3.0,3000000000.0,,,False,
