,
,TOTAL
STATE,LANE
,MILES
Alabama," 209,804 "
Alaska," 35,836 "
Arizona," 163,373 "
Arkansas," 204,163 "
California," 458,181 "
Colorado," 187,135 "
Connecticut," 45,695 "
Delaware," 14,402 "
District of Columbia," 3,452 "
Florida," 278,661 "
Georgia," 270,734 "
Hawaii," 9,850 "
Idaho," 122,290 "
Illinois," 306,914 "
Indiana," 202,750 "
Iowa," 236,440 "
Kansas," 283,863 "
Kentucky," 166,575 "
Louisiana," 139,489 "
Maine," 46,808 "
Maryland," 71,670 "
Massachusetts," 77,922 "
Michigan," 256,171 "
Minnesota," 294,335 "
Mississippi," 163,972 "
Missouri," 279,052 "
Montana," 152,430 "
Nebraska," 194,650 "
Nevada," 100,564 "
New Hampshire," 33,619 "
New Jersey," 84,663 "
New Mexico," 151,235 "
New York," 241,032 "
North Carolina," 231,528 "
North Dakota," 179,485 "
Ohio," 262,279 "
Oklahoma," 240,526 "
Oregon," 162,359 "
Pennsylvania," 254,485 "
Rhode Island," 13,613 "
South Carolina," 161,630 "
South Dakota," 166,218 "
Tennessee," 204,154 "
Texas," 699,229 "
Utah," 103,220 "
Vermont," 29,259 "
Virginia," 165,051 "
Washington," 165,370 "
West Virginia," 80,268 "
Wisconsin," 239,879 "
Wyoming," 62,476 "
U.S. Total," 8,908,761 "
Puerto Rico," 41,564 "
Grand Total," 8,950,326 "
,
,
,
,
,
,
,
,
